	Text	Topic	TextSrcInre	Para_No	ADU_Type	labelValue	Features
5056	The reason is that studying in advance education take a huge of money.	Higher education should be available only to good students or not	The reason is that studying in advance education take a huge of money.	2.0	ADU	3	Prompt , Body
131	It will not only prevent conflicts but also to have a friend or even a family member.	Roommates quality and their importance	It will not only prevent conflicts but also to have a friend or even a family member.	2.0	ADU	3	Transition , Body
5434	And I can study physics without consideration of my electronics.	It is not necessary for university students to attend classes	And I can study physics without consideration of my electronics.	2.0	ADU	3	Elaboration , Body
6115	Secondly, children from rich families have better skills on how to use money, because they use it a lot of times.	Children from poorer families are more successful in the future life.	Secondly, children from rich families have better skills on how to use money, because they use it a lot of times.	3.0	ADU	3	Elaboration , Body
25	Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential.	More people are migrating to other countries than ever before	Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential.	2.0	ADU	2	Transition , Body
4433	In other words, once you are special and unique, pursuing success is a matter of actively creating the fashion rather than passively waiting for other people to recognize and appreciate you.	Once you are unique enough, you are already on the way to success	In other words, once you are special and unique, pursuing success is a matter of actively creating the fashion rather than passively waiting for other people to recognize and appreciate you.	3.0	ADU	3	Transition , Body
762	Nevertheless, opponents of online-degrees would argue that attending lectures in person provides students an opportunity to communicate with teachers and other classmates.	Distance-learning vs. attending school in person	Nevertheless, opponents of online-degrees would argue that attending lectures in person provides students an opportunity to communicate with teachers and other classmates.	3.0	ADU	2	Rebuttal , Body
6425	It is undeniable that the rights of life are the basic and vital rights of a human being.	Capital punishment; 51% countries have polished death penalty	It is undeniable that the rights of life are the basic and vital rights of a human being.	3.0	ADU	3	Elaboration , Body
6670	That is the reason why celebrities nowadays give more good influence on young people than they were previously.	Celebrities & Their Influences	That is the reason why celebrities nowadays give more good influence on young people than they were previously.	4.0	ADU	1	Elaboration , Introduction
775	Nevertheless, opponents of modern communications claim that only the more privileged are able to enjoy the benefits.	Do modern communication technologies benefit all people	Nevertheless, opponents of modern communications claim that only the more privileged are able to enjoy the benefits.	3.0	ADU	3	Transition , Body
2409	Teachers give topics to the students who should research on the internet to find data, and then students should type their research by using computer and even give a presentation by using PowerPoint.	Opinions regarding world culture	Teachers give topics to the students who should research on the internet to find data, and then students should type their research by using computer and even give a presentation by using PowerPoint.	2.0	ADU	3	Suggestion , Body
