	Text	Topic	TextSrcInre	Para_No	ADU_Type	labelValue	Features
101	It is clear to recognize that the internet service is being provided at a low cost or even free in many countries.	Will newspapers become a thing of the past?	It is clear to recognize that the internet service is being provided at a low cost or even free in many countries.	3.0	ADU	3	Elaboration , Body
2206	Computers can be programmed to provide an endless numbers of questions in diverse range of fields, and as the students answer these questions, the facts has been learned and reinforced.	Teachers lesson vs other sources	Computers can be programmed to provide an endless numbers of questions in diverse range of fields, and as the students answer these questions, the facts has been learned and reinforced.	2.0	ADU	3	Elaboration , Body
2865	Animals, the different species, their habitats and behaviors are a subject of study at schools and universities.	Zoos have no useful purpose?	Animals, the different species, their habitats and behaviors are a subject of study at schools and universities.	3.0	ADU	3	Elaboration , Body
6611	It is a matter of fact that students share even more time together than with their parents, explaining a great deal of wisdom they absorb from each others; it can be, for example, lessons on the class, social skills or general etiquettes that are sometimes overlooked by parents.	Classmates' impacts on children's performance at school	It is a matter of fact that students share even more time together than with their parents, explaining a great deal of wisdom they absorb from each others; it can be, for example, lessons on the class, social skills or general etiquettes that are sometimes overlooked by parents.	3.0	ADU	3	Elaboration , Body
1566	Therefore, the progress of news media is an advantageous development.	The popularity of news media	Therefore, the progress of news media is an advantageous development.	4.0	ADU	2	Conclusion , Conclusion
6403	There is no doubt the application of technological developments in some countries will be accompanied with modern skills and new lifestyles.	The maintenance of traditional skills and ways of life?	There is no doubt the application of technological developments in some countries will be accompanied with modern skills and new lifestyles.	1.0	Non-ADU	0	Transition , Introduction
2233	From my perspective, I agree with the view that students can acquire more benefits from the remote education.	Distance-learning cannot bring the benefits that traditional colleges offer	From my perspective, I agree with the view that students can acquire more benefits from the remote education.	1.0	ADU	1	Elaboration , Introduction
6521	However, cars themselves, especially private ones, have exerted severe pressure on the environment and economy for wasteful oil consumption.	Increased taxation on petrol and diesel fuel to discourage private cars?	However, cars themselves, especially private ones, have exerted severe pressure on the environment and economy for wasteful oil consumption.	1.0	Non-ADU	0	Transition , Introduction
4442	Nevertheless, the art and music, from my point of view, are also essential for younger student's future life because those subjects help students learn this planet from another perspective and they can release people from the enormous pressure nowadays.	Younger school children should study art and music	Nevertheless, the art and music, from my point of view, are also essential for younger student's future life because those subjects help students learn this planet from another perspective and they can release people from the enormous pressure nowadays.	1.0	ADU	2	Elaboration , Introduction
3550	For example, if one wore in white and went to common Viharas to observe a rather longer-than-usual, full-length Buddhist sutra in Buddha's Birthday in India, he or she would learn something about Indian religion and culture.	Follow the New Customs of the New Country or Not?	For example, if one wore in white and went to common Viharas to observe a rather longer-than-usual, full-length Buddhist sutra in Buddha's Birthday in India, he or she would learn something about Indian religion and culture.	2.0	ADU	3	Elaboration , Body
2908	Thus, these personal reports of famous people, unimportant information or distorted stories, will not solve problem related with the society.	Overemphasizing on personal lives of famous people by media	Thus, these personal reports of famous people, unimportant information or distorted stories, will not solve problem related with the society.	4.0	ADU	3	Solution , Body
2304	On the other hand, some people maintain that the increase in life expectancy puts a high pressure on the economic system because more pension have to spend for Medicare instead of investing in other sectors of the economic system.	Improved medical care	On the other hand, some people maintain that the increase in life expectancy puts a high pressure on the economic system because more pension have to spend for Medicare instead of investing in other sectors of the economic system.	4.0	ADU	2	Transition , Body
5357	Thanks to the Internet, we can go online and have access to information from all over the world and therefore mass media don't need any more to keep informed people but their goal is to have enough readers or TV audience.	Famous people are bothered by the media	Thanks to the Internet, we can go online and have access to information from all over the world and therefore mass media don't need any more to keep informed people but their goal is to have enough readers or TV audience.	2.0	ADU	3	Transition , Body
4152	From my personal experience I recall that my car has always been a great help to see my childhood friends very often although I lived in another city.	People are now able to overcome long distances in a short amount of time	From my personal experience I recall that my car has always been a great help to see my childhood friends very often although I lived in another city.	2.0	ADU	3	Elaboration , Body
6818	At the same time, playing sports will give good effects on children.	Children should studying hard or playing sport? Both can improve their future	At the same time, playing sports will give good effects on children.	3.0	ADU	2	Transition , Body
5545	Generally, personally speaking, I believe new building construction hold the right to gain more money from government.	New building construction hold the right to gain more money from government	Generally, personally speaking, I believe new building construction hold the right to gain more money from government.	4.0	ADU	1	Prompt , Conclusion
798	An integration of music into learning process bound to be successful when it is not compulsory.	Should high school make music lessons compulsory	An integration of music into learning process bound to be successful when it is not compulsory.	4.0	ADU	1	Prompt , Conclusion
3758	There are two reasons to support my idea.	Tv has NO negative effects on children	There are two reasons to support my idea.	1.0	Non-ADU	0	Elaboration , Introduction
3575	In conclusion, working with a group a people and working individually are all important.	Work in team or independently	In conclusion, working with a group a people and working individually are all important.	4.0	Non-ADU	0	Transition , Conclusion
